Aaca Acanthotermes_acanthothorax
Aban Anoplotermes_banksi
Abea Amitermes_beaumonti
Apac Anoplotermes_pacificus
Aunk Acutidentitermes_sp
Bori Blatta_orientalis
Cbre Cryptotermes_brevis
Ccav Constrictotermes_cavifrons
Cges Coptotermes_gestroi
Cmer Cryptocercus_meridianus
Cpar Cylindrotermes_parvignathus
Csp4 Coatitermes_sp
Ctes Coptotermes_testaceus
Cwal Cornitermes_walkeri
Dlon Dolichorhinotermes_longilabius
Eunk Euhamitermes_sp
Fval Foraminitermes_valens
Gfus Glyptotermes_fuscus
Gocu Glossotermes_oculatus
Hsjo Hodotermopsis_sjostedti
Hten Heterotermes_tenuis
Hunk Hospitalitermes_sp
Isch Incisitermes_schwarzi
Iunk Isognathotermes_sp
Kfla Kalotermes_flavicollis
Llab Labiotermes_labralis
Lunk Leptomyxotermes_sp
Mdar Mastotermes_darwiniensis
Mhub Marginitermes_sp
Mnat Macrotermes_natalensis
Munk Microcerotermes_sp
Ncas Neotermes_castaneus
Nluj Nasutitermes_lujae
Ntar Neocapritermes_taracua
Ofor Odontotermes_formosanus
Pada Porotermes_adamsoni
PAsim Paraneotermes_simplicicornis
Pred Promirotermes_redundans
PRsim Prorhinotermes_simplex
Punk Pericapritermes_sp
Rebo Roisinitermes_ebogoensis
Rfla Reticulitermes_flavipes
Shal Stylotermes_halumicus
Shey Silvestritermes_heyeri
Ssph Sphaerotermes_sphaerothorax
Svic Stolotermes_victoriensis
Znev Zootermopsis_nevadensis
